matrix size,time (ms),Gigaentries per second
2,5.336227,0.000000
4,3.361692,0.000000
8,0.091305,0.000070
16,0.182613,0.000140
32,0.348861,0.000294
64,0.681186,0.000601
128,1.380057,0.001187
256,3.040321,0.002156
512,6.638755,0.003949
1024,21.764129,0.004818
2048,109.835736,0.003819
4096,3861.398988,0.000434
8192,39900.177648,0.000168
