matrix size,time (ms),Gigaentries per second
2,0.001507,0.000265
4,0.000538,0.002974
8,0.000712,0.008989
16,0.001637,0.015638
32,0.005193,0.019719
64,0.024832,0.016495
128,0.176944,0.009259
256,1.856365,0.003530
512,10.222951,0.002564
1024,20.481656,0.005120
2048,106.920604,0.003923
4096,4019.846611,0.000417
8192,38915.345964,0.000172
