matrix size,time (ms),Gigaentries per second
2,6.644567,0.000000
4,0.670867,0.000002
8,0.089886,0.000071
16,0.172919,0.000148
32,0.352259,0.000291
64,0.808924,0.000506
128,2.540416,0.000645
256,8.835703,0.000742
512,29.795656,0.000880
1024,111.567310,0.000940
2048,449.557307,0.000933
4096,7304.115749,0.000230
8192,48642.500212,0.000138

