matrix size,time (ms),Gigaentries per second
2,0.001385,0.000289
4,0.000492,0.003252
8,0.001056,0.006061
16,0.001605,0.015950
32,0.005230,0.019579
64,0.025097,0.016321
128,0.182227,0.008991
256,1.873831,0.003497
512,15.831023,0.001656
1024,123.692378,0.000848
2048,1497.365458,0.000280
4096,19510.697123,0.000086
8192,176259.719793,0.000038

