matrix size,time (ms),Gigaentries per second
2,5.656121,0.000000
4,6.547714,0.000000
8,0.098909,0.000065
16,0.191010,0.000134
32,0.371527,0.000276
64,0.795160,0.000515
128,1.499301,0.001093
256,3.094690,0.002118
512,6.573686,0.003988
1024,22.392233,0.004683
2048,111.773797,0.003752
4096,4010.953631,0.000418
8192,60844.211557,0.000110

