matrix size,time (ms),Gigaentries per second
2,0.001001,0.000400
4,0.000444,0.003604
8,0.000669,0.009567
16,0.001325,0.019321
32,0.005172,0.019799
64,0.030268,0.013532
128,0.228440,0.007172
256,2.259765,0.002900
512,18.568158,0.001412
1024,143.420231,0.000731
2048,1574.141309,0.000266
4096,19762.902327,0.000085
8192,174391.638781,0.000038

